Copyright Central Council of Church Bell Ringers, December 2011
Differential Plain Doubles methods

No.	Name	Notation	hl	le	lh	RW ref
Twin-hunt differential Delight Minor methods (b)

No.	Name	Notation	hl	le	lh	RW ref

17649	Hafnium Differential	-34-14-1256-16.34-14.	56	16	145236	05/380

Twin-hunt differential Treble Bob Minor methods (b)

No.	Name	Notation	hl	le	lh	RW ref

17650	Finnan Differential	-56-16-1256-16-34-	56	16	145236	05/431
17651	Garry Differential	-56-16-1256-16.34-12.	56	16	145236	05/431
17652	Harris Differential	-56-16-1256-16.34-34.	56	16	145236	05/431

Differential Hybrid Minor methods
                        (treble's path 1 2 3  4 5  6 5  6 6  5 4  3 2  1 1)

No.	Name	Notation	lh	RW ref

17653	Worthington Creamflow Differential	-16-16-14-16-16-14-12	132564	02/1115

Differential Hybrid Minor methods
                      (treble's path 1 2 3  4 5  6 6  5 6  5 4  3 2  1 1)

No.	Name	Notation	lh	RW ref

17654	Tetley's Smoothflow Differential	-14-16-16-14-16-16-12	145263	02/1115

Differential Little Hybrid Minor methods
                     (hunt bell's path 3 3  4 5  6  5 6  5 4    3 3    4 3)

No.	Name	Notation	lh	RW ref

17655	London over S6 Differential Little	36-36.14-12-1236-3456-56	253614	10/89
17656	London over S2 Differential Little	36-36.14-12-36-3456-1256	253614	10/89

Differential Little Hybrid Minor methods
                     (hunt bell's path 3 3  4 5  6  5 6  5 4  3 4    3 3)

No.	Name	Notation	lh	RW ref

17657	London over S1 Differential Little	36-36.14-12-36-1256-3456	253614	10/89

Differential Little Hybrid Minor methods
                    (hunt bell's path 3 4 5  6 6  5 6  5 4  3 3    4 3)

No.	Name	Notation	lh	RW ref

17658	Dover over D2 Differential Little	-36-16-12-16-3456-56	253614	10/90

Differential Little Hybrid Minor methods
                               (hunt bell's path 4 3 3  4 4  3 4  3 3  4 4    3 4)

No.	Name	Notation	lh	RW ref

17659	Cambridge over Cambridge Differential Little	-36-14-12-36-1456-56	256413	10/89

Differential Little Hybrid Minor methods
                           (hunt bell's path 6 5  6 6  5  6 5  6 6    5 5    6 6)

No.	Name	Notation	lh	RW ref

17660	Carlisle over S6 Differential Little	34-36.14-12-1236-3456-16	452136	10/89
17661	Carlisle over Mendip Differential Little	34-36.14-12-16-1456-3456	534216	10/90

