Copyright Central Council of Church Bell Ringers, December 2011
Alliance Minor methods (treble dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref
16084	Farnborough	-16-12-16.34-34.	56	12	165324	68/387
16085	Sutton	-16-12-36-12-	36	12	f	
16086	Chelford	-16-12-36-12-	36	16	l	
16087	Coxley	-16-12-36-12-	56	16	134625	72/443
16088	Morland	-16-12-36-14-	56	12	b	34/684
16089	Bodenham	-16-12-36-14-	56	16	g	60/183
16090	Kirkhamgate	-16-12-36-34-	56	16	134625	72/443
16091	Denton	-16-12-36.12-12.	36	12	f	
16092	Poynton	-16-12-36.12-12.	36	16	l	
16093	Alwoodley	-16-12-36.12-12.	56	16	134625	72/443
16094	Limpsfield	-16-12-36.12-14.	36	12	e	
16095	Willesborough	-16-12-36.12-14.	36	16	h	
16096	Biddenham	-16-12-36.12-34.	16	12	e	
16097	Wistaston	-16-12-36.12-34.	16	16	h	
16098	Hanging Heaton	-16-12-36.12-34.	56	16	134625	72/443
16099	Pencombe	-16-12-36.14-12.	56	12	b	60/183
16100	Eardisley	-16-12-36.14-12.	56	16	g	60/183
16101	Kirkthorpe	-16-12-36.14-34.	56	12	b	60/183
16102	Kippax	-16-12-36.14-34.	56	16	g	60/183
16103	Sharlston	-16-56-1236-12-	36	16	134625	72/443
16104	Tingley	-16-56-1236-12-	56	16	l	72/443
16105	Westerton	-16-56-1236-34-	56	16	l	72/443
16106	Snydale	-16-56-36-12-	36	16	134625	72/443
16107	Carr Gate	-16-56-36-12-	56	16	l	72/443
16108	Durkar	-16-56-36-34-	56	16	l	72/443
16109	Ferry Bridge	-16-56-36.12-12.	36	16	134625	72/443
16110	Emley	-16-56-36.12-12.	56	16	l	72/443
16111	Flockton	-16-56-36.12-34.	56	16	l	72/443
16112	Sibsey	34.16-12-16-12-	16	16	m	
16113	Surfleet	34.16-12-16-12-	56	12	e	
16114	Gedney	34.16-12-16-12-	56	16	h	
16115	Cranford	34.16-12-16-14-	16	12	f	
16116	Hitcham	34.16-12-16-14-	16	16	l	
16117	Gosberton	34.16-12-16-34-	16	12	a	
16118	Spalding	34.16-12-16-34-	56	12	e	
16119	Gunby	34.16-12-16-34-	56	16	h	
16120	Wainfleet	34.16-12-16.34-12.	56	12	e	
16121	Bicker	34.16-12-16.34-12.	56	16	h	
16122	Pinchbeck	34.16-12-16.34-34.	56	12	e	
16123	Spilsby	34.16-12-16.34-34.	56	16	h	
16124	Stisted	34.16-12-36-12-	16	12	b	
16125	Llanelly	34.16-12-36-12-	16	16	g	
16126	Clewer	34.16-12-36-34-	36	12	a	
16127	Copt Oak	34.16-12-36.12-14.	56	12	e	
16128	Charnwood	34.16-12-36.12-14.	56	16	h	
16129	Cassington	36.14-12-16-14-	16	12	e	
16130	Holywell	36.14-12-16-14-	56	12	a	
16131	Hilperton	36.14-12-16-34-	36	12	b	
16132	Newburn	36.14-12-16.34-12.	36	12	b	
16133	Wonston	36.14-12-16.34-14.	36	12	f	
16134	Lytchett	36.14-12-16.34-34.	16	12	f	
16135	Stokesay	36.14-12-36-12-	56	12	a	
16136	Stanwell	36.14-12-36-14-	36	12	f	
16137	Perran	36.14-12-36-34-	56	12	a	
16138	Angmering	36.14-12-36.12-12.	56	12	a	
16139	Mathon	36.14-12-36.12-14.	36	12	b	
16140	Haresfield	36.14-12-36.12-34.	16	12	b	
16141	Whickham	36.14-12-36.12-34.	56	12	a	
16142	Belton	36.14-12-36.14-14.	56	12	a	

Alliance Minor methods (treble triple dodging in 5-6)

No.	Name	Notation	hl	le	lh	RW ref

16143	Hudson	-16-16-14-34-12-	16	12	a	04/201

Alliance Minor methods
         (treble's path 1 2 3  4 5    6  6    5  5)

No.	Name	Notation	hl	le	lh	RW ref

16144	Foxley	-14-1236-1236-	56	16	134625	94/685
16145	Deene	-14-1236-3456-	56	12	f	91/1114 03/733
16146	Creaton	-14-1236.12.3456.12.	56	12	f	03/733
16147	ANZAC	-14-16-1236-	56	16	m	07/88
16148	Godspeed	-14-16-36-	56	16	m	07/542
16149	York Colleges Guild	-14-36-3456-	56	12	f	87/342 03/733
16150	Roadshow	-16-16-1256-	56	12	b	03/256 394
16151	Castlereagh	-16-36-16-	56	12	a	10/65

Alliance Minor methods
   (treble's path 1 2 3  3  4 4  5  6 6)

No.	Name	Notation	hl	le	lh	RW ref

16152	Tillingbourne	-16.34-34.16-	16	12	a	92/1006

Alliance Minor methods
(treble's path 1 2  3  4 5  6 6    5 4  4)

No.	Name	Notation	hl	le	lh	RW ref

16153	Brisley	36.14-16-1456-36.	14	12	f	94/685

Alliance Minor methods
(treble's path 1 2 1  2  3  4 5  6 6    5 5)

