#t   #theta   #omega   #xddot    #yddot
2.09 -2.95914 -0.685936 2.33613 -9.74128
2.1 -2.96587 -0.658635 2.25096 -9.74568
2.11 -2.97232 -0.632329 2.1691 -9.74976
2.12 -2.97852 -0.606977 2.09042 -9.75353
2.13 -2.98446 -0.582544 2.01483 -9.75702
2.14 -2.99017 -0.558993 1.94222 -9.76024
2.15 -2.99565 -0.53629 1.8725 -9.76323
2.16 -3.0009 -0.514399 1.80556 -9.76599
2.17 -3.00594 -0.493289 1.74131 -9.76854
2.18 -3.01077 -0.472929 1.67967 -9.7709
2.19 -3.0154 -0.453287 1.62054 -9.77308
2.2 -3.01983 -0.434335 1.56384 -9.7751
2.21 -3.02409 -0.416044 1.50949 -9.77697
2.22 -3.02816 -0.398386 1.45742 -9.77869
2.23 -3.03206 -0.381335 1.40754 -9.78029
2.24 -3.03579 -0.364865 1.35978 -9.78176
2.25 -3.03935 -0.348951 1.31408 -9.78313
2.26 -3.04277 -0.333569 1.27037 -9.78439
2.27 -3.04603 -0.318696 1.22858 -9.78555
2.28 -3.04914 -0.304309 1.18866 -9.78663
2.29 -3.05212 -0.290387 1.15054 -9.78762
2.3 -3.05495 -0.276909 1.11416 -9.78854
2.31 -3.05766 -0.263853 1.07948 -9.78939
2.32 -3.06023 -0.2512 1.04644 -9.79017
2.33 -3.06268 -0.238932 1.01499 -9.79089
2.34 -3.06501 -0.227028 0.985087 -9.79156
2.35 -3.06722 -0.215471 0.956684 -9.79217
2.36 -3.06932 -0.204244 0.92974 -9.79273
2.37 -3.07131 -0.193329 0.904213 -9.79325
2.38 -3.07319 -0.18271 0.880066 -9.79373
2.39 -3.07496 -0.17237 0.857261 -9.79417
2.4 -3.07664 -0.162293 0.835766 -9.79458
2.41 -3.07821 -0.152465 0.815546 -9.79495
2.42 -3.07969 -0.142871 0.796573 -9.79529
2.43 -3.08107 -0.133495 0.778817 -9.7956
2.44 -3.08236 -0.124323 0.762251 -9.79589
2.45 -3.08356 -0.115341 0.74685 -9.79614
2.46 -3.08466 -0.106536 0.732591 -9.79638
2.47 -3.08569 -0.097894 0.719453 -9.79659
2.48 -3.08662 -0.0894018 0.707415 -9.79678
2.49 -3.08747 -0.0810465 0.69646 -9.79695
2.5 -3.08824 -0.0728152 0.68657 -9.7971
2.51 -3.08893 -0.0646954 0.677731 -9.79724
2.52 -3.08954 -0.0566746 0.669929 -9.79735
2.53 -3.09007 -0.0487406 0.663153 -9.79745
2.54 -3.09051 -0.0408812 0.657391 -9.79754
2.55 -3.09088 -0.0330844 0.652636 -9.79761
2.56 -3.09118 -0.0253383 0.648881 -9.79766
2.57 -3.09139 -0.017631 0.646118 -9.7977
2.58 -3.09153 -0.00995061 0.644345 -9.79773
2.59 -3.09159 -0.0022855 0.643558 -9.79774
2.6 -3.09157 0.00537612 0.643757 -9.79774
2.61 -3.09148 0.013046 0.644941 -9.79772
2.62 -3.09131 0.0207358 0.647113 -9.79769
2.63 -3.09107 0.0284574 0.650276 -9.79764
2.64 -3.09074 0.0362225 0.654434 -9.79758
2.65 -3.09034 0.0440431 0.659594 -9.79751
2.66 -3.08986 0.0519311 0.665763 -9.79742
2.67 -3.0893 0.0598986 0.672952 -9.79731
2.68 -3.08866 0.0679579 0.681171 -9.79719
2.69 -3.08794 0.0761211 0.690432 -9.79704
2.7 -3.08714 0.0844009 0.70075 -9.79689
2.71 -3.08626 0.0928099 0.71214 -9.79671
2.72 -3.08528 0.101361 0.724619 -9.79651
