#t   #theta   #omega   #xddot    #yddot
2.41 -3.07821 -0.152465 1.10681 -9.80192
2.42 -3.07969 -0.142871 1.08106 -9.80141
2.43 -3.08107 -0.133495 1.05697 -9.80095
2.44 -3.08236 -0.124323 1.03448 -9.80052
2.45 -3.08356 -0.115341 1.01358 -9.80013
2.46 -3.08466 -0.106536 0.994231 -9.79978
2.47 -3.08569 -0.097894 0.976401 -9.79946
2.48 -3.08662 -0.0894018 0.960064 -9.79918
2.49 -3.08747 -0.0810465 0.945196 -9.79892
2.5 -3.08824 -0.0728152 0.931774 -9.79869
2.51 -3.08893 -0.0646954 0.919778 -9.79849
2.52 -3.08954 -0.0566746 0.90919 -9.79832
2.53 -3.09007 -0.0487406 0.899993 -9.79817
2.54 -3.09051 -0.0408812 0.892174 -9.79804
2.55 -3.09088 -0.0330844 0.885721 -9.79794
2.56 -3.09118 -0.0253383 0.880624 -9.79786
2.57 -3.09139 -0.017631 0.876875 -9.7978
2.58 -3.09153 -0.00995061 0.874468 -9.79776
2.59 -3.09159 -0.0022855 0.873401 -9.79774
2.6 -3.09157 0.00537612 0.87367 -9.79775
2.61 -3.09148 0.013046 0.875278 -9.79777
2.62 -3.09131 0.0207358 0.878225 -9.79782
2.63 -3.09107 0.0284574 0.882517 -9.79789
2.64 -3.09074 0.0362225 0.88816 -9.79798
2.65 -3.09034 0.0440431 0.895163 -9.79809
2.66 -3.08986 0.0519311 0.903536 -9.79823
2.67 -3.0893 0.0598986 0.913292 -9.79839
2.68 -3.08866 0.0679579 0.924446 -9.79857
2.69 -3.08794 0.0761211 0.937015 -9.79878
2.7 -3.08714 0.0844009 0.951018 -9.79902
2.71 -3.08626 0.0928099 0.966475 -9.79929
2.72 -3.08528 0.101361 0.983411 -9.79959
2.73 -3.08423 0.110067 1.00185 -9.79992
2.74 -3.08308 0.118942 1.02182 -9.80029
2.75 -3.08185 0.127998 1.04336 -9.80069
2.76 -3.08052 0.137251 1.06649 -9.80113
2.77 -3.0791 0.146714 1.09125 -9.80161
2.78 -3.07759 0.156401 1.11768 -9.80214
2.79 -3.07597 0.166327 1.14581 -9.80272
2.8 -3.07426 0.176508 1.17569 -9.80335
2.81 -3.07244 0.186958 1.20737 -9.80403
2.82 -3.07052 0.197695 1.24089 -9.80477
2.83 -3.06849 0.208734 1.2763 -9.80558
2.84 -3.06634 0.220092 1.31366 -9.80646
2.85 -3.06408 0.231786 1.35302 -9.80741
2.86 -3.06171 0.243835 1.39445 -9.80844
2.87 -3.05921 0.256257 1.43799 -9.80956
2.88 -3.05658 0.269069 1.48372 -9.81077
2.89 -3.05382 0.282293 1.53171 -9.81208
2.9 -3.05093 0.295948 1.58202 -9.81351
2.91 -3.0479 0.310055 1.63474 -9.81504
2.92 -3.04473 0.324635 1.68993 -9.81671
2.93 -3.04141 0.339711 1.74769 -9.81851
2.94 -3.03793 0.355304 1.80809 -9.82046
2.95 -3.0343 0.371439 1.87122 -9.82257
2.96 -3.0305 0.388141 1.93718 -9.82486
2.97 -3.02654 0.405434 2.00607 -9.82733
2.98 -3.02239 0.423344 2.07797 -9.83
2.99 -3.01807 0.441898 2.153 -9.83289
3 -3.01355 0.461125 2.23127 -9.83601
3.01 -3.00884 0.481053 2.31288 -9.83939
3.02 -3.00393 0.501712 2.39795 -9.84305
3.03 -2.99881 0.523133 2.4866 -9.847
3.04 -2.99346 0.545347 2.57895 -9.85127
3.05 -2.9879 0.568389 2.67514 -9.85589
3.06 -2.98209 0.592291 2.7753 -9.86089
3.07 -2.97605 0.61709 2.87956 -9.86628
3.08 -2.96975 0.642822 2.98806 -9.87212
3.09 -2.96319 0.669525 3.10095 -9.87843
3.1 -2.95635 0.697238 3.21838 -9.88525
3.11 -2.94924 0.726002 3.3405 -9.89261
3.12 -2.94183 0.755858 3.46748 -9.90058
3.13 -2.93412 0.786849 3.59946 -9.90918
3.14 -2.92609 0.819021 3.73663 -9.91848
3.15 -2.91773 0.85242 3.87913 -9.92853
3.16 -2.90904 0.887092 4.02716 -9.93939
3.17 -2.89999 0.923088 4.18087 -9.95112
3.18 -2.89057 0.960458 4.34045 -9.96379
3.19 -2.88077 0.999254 4.50607 -9.97747
3.2 -2.87058 1.03953 4.67792 -9.99225
3.21 -2.85998 1.08134 4.85617 -10.0082
3.22 -2.84895 1.12475 5.041 -10.0254
3.23 -2.83748 1.1698 5.23259 -10.0441
3.24 -2.82555 1.21657 5.43112 -10.0641
3.25 -2.81314 1.2651 5.63676 -10.0858
3.26 -2.80024 1.31548 5.84967 -10.1092
3.27 -2.78682 1.36775 6.07002 -10.1345
3.28 -2.77288 1.42199 6.29795 -10.1617
3.29 -2.75838 1.47826 6.53362 -10.1911
3.3 -2.74331 1.53664 6.77715 -10.2228
3.31 -2.72764 1.59718 7.02865 -10.2569
3.32 -2.71135 1.65997 7.28822 -10.2937
3.33 -2.69443 1.72507 7.55593 -10.3334
3.34 -2.67684 1.79256 7.83183 -10.3761
3.35 -2.65857 1.8625 8.11595 -10.4221
3.36 -2.63959 1.93497 8.40826 -10.4717
3.37 -2.61986 2.01003 8.70872 -10.525
3.38 -2.59938 2.08777 9.01723 -10.5823
3.39 -2.5781 2.16825 9.33365 -10.644
3.4 -2.556 2.25154 9.65777 -10.7102
3.41 -2.53306 2.33771 9.98932 -10.7814
3.42 -2.50924 2.42682 10.328 -10.8578
