#t   #theta   #omega   #xddot    #yddot
1.74 -2.44308 -2.67234 9.46292 -9.79774
1.75 -2.46932 -2.57533 9.16405 -9.79774
1.76 -2.4946 -2.48141 8.87009 -9.79774
1.77 -2.51895 -2.39052 8.58151 -9.79774
1.78 -2.54242 -2.3026 8.29871 -9.79774
1.79 -2.56502 -2.21761 8.022 -9.79774
1.8 -2.58678 -2.13546 7.75165 -9.79774
1.81 -2.60773 -2.05609 7.48786 -9.79774
1.82 -2.62791 -1.97944 7.23079 -9.79774
1.83 -2.64733 -1.90543 6.98053 -9.79774
1.84 -2.66603 -1.83399 6.73715 -9.79774
1.85 -2.68402 -1.76504 6.50068 -9.79774
1.86 -2.70134 -1.69853 6.27113 -9.79774
1.87 -2.718 -1.63437 6.04846 -9.79774
1.88 -2.73403 -1.5725 5.83262 -9.79774
1.89 -2.74946 -1.51284 5.62355 -9.79774
1.9 -2.76429 -1.45532 5.42116 -9.79774
1.91 -2.77857 -1.39987 5.22534 -9.79774
1.92 -2.7923 -1.34643 5.03599 -9.79774
1.93 -2.8055 -1.29493 4.85297 -9.79774
1.94 -2.8182 -1.24531 4.67617 -9.79774
1.95 -2.83042 -1.19749 4.50543 -9.79774
1.96 -2.84216 -1.15142 4.34062 -9.79774
1.97 -2.85345 -1.10704 4.18159 -9.79774
1.98 -2.86431 -1.06429 4.0282 -9.79774
1.99 -2.87474 -1.0231 3.88029 -9.79774
2 -2.88477 -0.983431 3.73771 -9.79774
2.01 -2.89441 -0.945216 3.60031 -9.79774
2.02 -2.90368 -0.908407 3.46793 -9.79774
2.03 -2.91259 -0.872951 3.34044 -9.79774
2.04 -2.92114 -0.838798 3.21768 -9.79774
2.05 -2.92937 -0.8059 3.09951 -9.79774
2.06 -2.93727 -0.774209 2.98578 -9.79774
2.07 -2.94486 -0.743681 2.87635 -9.79774
2.08 -2.95214 -0.714271 2.77109 -9.79774
2.09 -2.95914 -0.685936 2.66986 -9.79774
2.1 -2.96587 -0.658635 2.57253 -9.79774
2.11 -2.97232 -0.632329 2.47897 -9.79774
2.12 -2.97852 -0.606977 2.38905 -9.79774
2.13 -2.98446 -0.582544 2.30266 -9.79774
2.14 -2.99017 -0.558993 2.21968 -9.79774
2.15 -2.99565 -0.53629 2.14 -9.79774
2.16 -3.0009 -0.514399 2.0635 -9.79774
2.17 -3.00594 -0.493289 1.99007 -9.79774
2.18 -3.01077 -0.472929 1.91962 -9.79774
2.19 -3.0154 -0.453287 1.85204 -9.79774
2.2 -3.01983 -0.434335 1.78725 -9.79774
2.21 -3.02409 -0.416044 1.72514 -9.79774
2.22 -3.02816 -0.398386 1.66562 -9.79774
2.23 -3.03206 -0.381335 1.60862 -9.79774
2.24 -3.03579 -0.364865 1.55404 -9.79774
2.25 -3.03935 -0.348951 1.50181 -9.79774
2.26 -3.04277 -0.333569 1.45185 -9.79774
2.27 -3.04603 -0.318696 1.4041 -9.79774
2.28 -3.04914 -0.304309 1.35847 -9.79774
2.29 -3.05212 -0.290387 1.3149 -9.79774
2.3 -3.05495 -0.276909 1.27333 -9.79774
2.31 -3.05766 -0.263853 1.23369 -9.79774
2.32 -3.06023 -0.2512 1.19593 -9.79774
2.33 -3.06268 -0.238932 1.15999 -9.79774
2.34 -3.06501 -0.227028 1.12581 -9.79774
2.35 -3.06722 -0.215471 1.09335 -9.79774
2.36 -3.06932 -0.204244 1.06256 -9.79774
2.37 -3.07131 -0.193329 1.03339 -9.79774
2.38 -3.07319 -0.18271 1.00579 -9.79774
2.39 -3.07496 -0.17237 0.979727 -9.79774
2.4 -3.07664 -0.162293 0.955161 -9.79774
2.41 -3.07821 -0.152465 0.932053 -9.79774
2.42 -3.07969 -0.142871 0.910369 -9.79774
2.43 -3.08107 -0.133495 0.890076 -9.79774
2.44 -3.08236 -0.124323 0.871144 -9.79774
2.45 -3.08356 -0.115341 0.853543 -9.79774
2.46 -3.08466 -0.106536 0.837247 -9.79774
2.47 -3.08569 -0.097894 0.822232 -9.79774
2.48 -3.08662 -0.0894018 0.808475 -9.79774
2.49 -3.08747 -0.0810465 0.795954 -9.79774
2.5 -3.08824 -0.0728152 0.784652 -9.79774
2.51 -3.08893 -0.0646954 0.77455 -9.79774
2.52 -3.08954 -0.0566746 0.765634 -9.79774
2.53 -3.09007 -0.0487406 0.757889 -9.79774
2.54 -3.09051 -0.0408812 0.751305 -9.79774
2.55 -3.09088 -0.0330844 0.74587 -9.79774
2.56 -3.09118 -0.0253383 0.741578 -9.79774
2.57 -3.09139 -0.017631 0.738421 -9.79774
2.58 -3.09153 -0.00995061 0.736394 -9.79774
2.59 -3.09159 -0.0022855 0.735495 -9.79774
