#t   #theta   #omega   #xddot    #yddot
1.49 -1.38768 -6.01666 13.414 -7.26373
1.5 -1.44709 -5.8652 13.5378 -7.3897
1.51 -1.50498 -5.71262 13.6125 -7.51335
1.52 -1.56134 -5.55947 13.6414 -7.6342
1.53 -1.61617 -5.40623 13.628 -7.75182
1.54 -1.66947 -5.25337 13.5757 -7.86589
1.55 -1.72124 -5.1013 13.4879 -7.97611
1.56 -1.7715 -4.95039 13.3682 -8.08229
1.57 -1.82025 -4.80099 13.2198 -8.18427
1.58 -1.86753 -4.65341 13.0458 -8.28194
1.59 -1.91333 -4.50791 12.8495 -8.37525
1.6 -1.95769 -4.36473 12.6337 -8.46418
1.61 -2.00063 -4.22407 12.4011 -8.54874
1.62 -2.04218 -4.08611 12.1542 -8.629
1.63 -2.08236 -3.95099 11.8955 -8.70502
1.64 -2.12121 -3.81883 11.6272 -8.7769
1.65 -2.15875 -3.68973 11.3512 -8.84475
1.66 -2.19502 -3.56377 11.0694 -8.90871
1.67 -2.23004 -3.441 10.7834 -8.96891
1.68 -2.26385 -3.32145 10.4948 -9.0255
1.69 -2.29648 -3.20516 10.2049 -9.07863
1.7 -2.32796 -3.09213 9.91484 -9.12845
1.71 -2.35833 -2.98235 9.62574 -9.17513
1.72 -2.38762 -2.87582 9.33853 -9.21882
1.73 -2.41586 -2.77249 9.05401 -9.25967
1.74 -2.44308 -2.67234 8.77292 -9.29784
1.75 -2.46932 -2.57533 8.49584 -9.33348
1.76 -2.4946 -2.48141 8.22331 -9.36672
1.77 -2.51895 -2.39052 7.95578 -9.39772
1.78 -2.54242 -2.3026 7.69359 -9.4266
1.79 -2.56502 -2.21761 7.43706 -9.4535
1.8 -2.58678 -2.13546 7.18643 -9.47853
1.81 -2.60773 -2.05609 6.94187 -9.50181
1.82 -2.62791 -1.97944 6.70354 -9.52347
1.83 -2.64733 -1.90543 6.47153 -9.54359
1.84 -2.66603 -1.83399 6.2459 -9.56229
1.85 -2.68402 -1.76504 6.02667 -9.57966
